Aachen;Bibliothek der Technischen Hochschule;82
Aachen;Öffentliche Bibliothek;52
Aachen;Fachhochschulbibliothek Aachen;A 96
Andernach;Stadtbücherei;977
Bad Kreuznach;Stadtbücherei;356
Bad Neuenahr;Stadtbücherei;978
Bielefeld;Universitätsbibliothek;361
Bielefeld;Stadtbibliothek;131
Bielefeld;Fachhochschulbibliothek;Bi 10
Bochum;Universitätsbibliothek;294
Bochum;Bibliothek des Ruhrgebietes;Bm 3
Bochum;Fachhochschulbibliothek;Bm 40
Bochum;Stadtbücherei;132
Bonn;Universitäts- und Landesbibliothek;5
Bonn;Deutsche Zentralbibliothek der Landbauwissenschaft;98
Bonn;Stadtbücherei;369
Bornheim / Rhl.;Bibliothek St. Albert, Walberberg (s. Köln);KN28
Detmold;Lippische Landesbibliothek;51
Dortmund;Universitätsbibliothek;290
Dortmund;Stadt- und Landesbibliothek;60
Dortmund;Inst. f. Zeitungsforschung;DM11
Dortmund;Fachhochschulbibliothek;Dm13
Düsseldorf;Universitäts- und Landesbibliothek;61
Düsseldorf;Fachhochschulbibliothek;Dü62
Düsseldorf;Stadtbüchereien/Zentralbibl.;362
Düsseldorf;Bibliothek des Vereins Deutscher Eisenhüttenleute;Dü 6
Duisburg;Universitätsbibliothek;464
Duisburg;Stadtbibliothek;136
Essen;Universitätsbibliothek u. Fachbibl. Med;465/465M
Essen;Stadtbibliothek;64
Frankenthal;Stadtbibliothek;716
Gelsenkirchen;Fachhochschulbibliothek;1010
Hagen;Universitätsbibliothek der Fernuniversität;708
Hagen;Stadtbücherei;142
Hagen;Bibliothek der Fachhochschule Südwestfalen;Hag 4
Iserlohn;Universitätsbibliothek der Fernuniversität;708
Iserlohn;Stadtbücherei;142
Iserlohn;Bibliothek der Fachhochschule Südwestfalen;Hag 4
Jülich;Zentralbibliothek des Forschungszentrums Jülich;Jül 1
Kaiserslautern;Universitätsbibliothek;386
Kaiserslautern;Pfalzbibliothek (LGA);Kai 1
Koblenz;Rheinische Landesbibliothek;929
Koblenz;Universitätsbibliothek;Kob 7
Köln;Universitäts- und Stadtbibliothek;38
Köln;Deutsche Zentralbibliothek der Medizin;38 M
Köln;Zentralbibliothek der Sportwissenschaften;Kn 41
Köln;Fachhochschulbibliothek;832
Köln;Stadtbibliothek;380
Köln;Germania Judaica;Kn 125
Köln;Erzbischöfliche Diözesan- und Dombibliothek;Kn 28
Köln;Hochschulbibliothekszentrum NRW;500
Landau;Stadtbibliothek;837
Landau;Universitätsbibliothek;Lan 1
Lemgo;Fachhochschulbibliothek;743
Ludwigshafen;Fachhochschulbibliothek;1116
Mainz;Stadtbibliothek;36
Mainz;Universitätsbibliothek;77
Mönchengladbach;Stadtbibliothek;260
Mönchengladbach;Fachhochschulbibliothek;829
Montabaur;Stadtbibliothek;1131
Münster;Universitäts- und Landesbibliothek;6
Münster;Fachhochschulbibliothek;836
Münster;Stadtbücherei;447
Neustadt;Staatl. Büchereistelle;1071
Neuwied;Stadtbibliothek;980
Paderborn;Universitätsbibliothek;466
Paderborn;Stadtbibliothek;736
Paderborn;Erzbischöfliche Akademische Bibliothek;211
Pirmasens;Stadtbibliothek;298
Remagen;Fachhochschulbibliothek Koblenz;1105
Siegen;Universitätsbibliothek;467
Siegen;Stadtbücherei;453
Speyer;Pfälz. Landesbibliothek;107
Trier;Universitätsbibliothek;385
Trier;Stadtbibliothek;121
Trier;Bibliothek des Priesterseminars;Tr 2
Trier;Fachhochschulbibliothek;Tr 5
Worms;Stadtbibliothek;123
Wuppertal;Universitätsbibliothek;468
Wuppertal;Stadtbibliothek;62
Zweibrücken;Bibliothek Bipontina;Zw 1